subject_id,data_id,condition,headcase,measure,val
sid000706,fnl_f17,view,no_case,fd_mean_filter,0.11683037239548771
sid000707,fnl_f17,view,no_case,perc_spikes,0.07923697725605282
sid000707,fnl_f17,view,no_case,fd_median_filter,0.07326637999999999
sid000707,fnl_f17,view,no_case,fd_mean,0.13244152803499631
sid000707,fnl_f17,view,no_case,fd_median,0.07717314
sid000707,fnl_f17,view,no_case,fd_mean_filter,0.08909337478223107
sid000708,fnl_f17,view,no_case,perc_spikes,0.007336757153338224
sid000708,fnl_f17,view,no_case,fd_mean,0.07587269681386663
sid000708,fnl_f17,view,no_case,fd_median_filter,0.05946299999999995
sid000708,fnl_f17,view,no_case,fd_mean_filter,0.07341837578514412
sid000708,fnl_f17,view,no_case,fd_median,0.059623900000000014
sid000710,fnl_f17,view,no_case,fd_mean,0.09633114592707259
sid000710,fnl_f17,view,no_case,fd_median_filter,0.07268820000000002
sid000710,fnl_f17,view,no_case,fd_mean_filter,0.0856730826111867
sid000710,fnl_f17,view,no_case,fd_median,0.07419920000000002
sid000710,fnl_f17,view,no_case,perc_spikes,0.029347028613352897
sid000052,fnl_f18,view,has_case,fd_mean,0.05924842761335278
sid000052,fnl_f18,recall,has_case,perc_spikes,0.1331877729257642
sid000052,fnl_f18,recall,has_case,fd_median,0.1616082525
sid000052,fnl_f18,view,has_case,perc_spikes,0.014673514306676448
sid000052,fnl_f18,recall,has_case,fd_median_filter,0.14870347500000003
sid000052,fnl_f18,view,has_case,fd_median_filter,0.04182050000000001
sid000052,fnl_f18,view,has_case,fd_mean_filter,0.05073051101787045
sid000052,fnl_f18,recall,has_case,fd_mean_filter,0.15264306354899243
sid000052,fnl_f18,view,has_case,fd_median,0.042159650000000014
sid000052,fnl_f18,recall,has_case,fd_mean,0.18483764964825322
sid000120,fnl_f18,recall,has_case,fd_median_filter,0.12985951999999995
sid000120,fnl_f18,view,has_case,fd_median,0.03673949999999999
sid000120,fnl_f18,view,has_case,fd_mean,0.04570104790014673
sid000120,fnl_f18,recall,has_case,fd_mean,0.20068434087808562
sid000120,fnl_f18,view,has_case,fd_median_filter,0.036590300000000006
sid000120,fnl_f18,view,has_case,fd_mean_filter,0.042310290299926466
sid000120,fnl_f18,recall,has_case,fd_mean_filter,0.13963178371569618
sid000120,fnl_f18,recall,has_case,fd_median,0.15920715
sid000120,fnl_f18,view,has_case,perc_spikes,0.0022010271460014674
sid000120,fnl_f18,recall,has_case,perc_spikes,0.2040302267002519
sid000134,fnl_f18,recall,has_case,fd_mean_filter,0.19297986785543478
sid000134,fnl_f18,recall,has_case,fd_median,0.29123104999999994
sid000134,fnl_f18,recall,has_case,perc_spikes,0.48775055679287305
sid000134,fnl_f18,view,has_case,fd_mean_filter,0.0530582004325752
sid000134,fnl_f18,view,has_case,perc_spikes,0.0
sid000134,fnl_f18,view,has_case,fd_median_filter,0.04556169999999999
sid000134,fnl_f18,recall,has_case,fd_median_filter,0.19557122500000002
sid000134,fnl_f18,view,has_case,fd_mean,0.05305820043257521
sid000134,fnl_f18,recall,has_case,fd_mean,0.33488273214521136
sid000134,fnl_f18,view,has_case,fd_median,0.04556169999999999
sid000138,fnl_f18,recall,has_case,fd_mean_filter,0.18624406239326022
sid000138,fnl_f18,view,has_case,fd_median_filter,0.036087160000000014
sid000138,fnl_f18,view,has_case,perc_spikes,0.004402054292002935
sid000138,fnl_f18,recall,has_case,perc_spikes,0.6366742596810934
sid000138,fnl_f18,view,has_case,fd_mean,0.047364430463683015
sid000138,fnl_f18,recall,has_case,fd_mean,0.501609578057973
sid000138,fnl_f18,recall,has_case,fd_median,0.3875706499999999
sid000138,fnl_f18,view,has_case,fd_median,0.03613224999999997
sid000138,fnl_f18,view,has_case,fd_mean_filter,0.045730017267501845
sid000138,fnl_f18,recall,has_case,fd_median_filter,0.19742995
sid000278,fnl_f18,view,has_case,perc_spikes,0.04035216434336023
sid000278,fnl_f18,recall,has_case,perc_spikes,0.07967032967032966
sid000278,fnl_f18,recall,has_case,fd_mean,0.1626570111785713
sid000278,fnl_f18,recall,has_case,fd_median,0.14240186999999999
sid000278,fnl_f18,view,has_case,fd_mean,0.1301551729305208
sid000278,fnl_f18,view,has_case,fd_median_filter,0.09925984999999991
sid000278,fnl_f18,view,has_case,fd_mean_filter,0.10960453186230885
sid000278,fnl_f18,recall,has_case,fd_mean_filter,0.1431523578716418
sid000278,fnl_f18,view,has_case,fd_median,0.10211819999999996
sid000278,fnl_f18,recall,has_case,fd_median_filter,0.13492562750000003
sid000435,fnl_f18,view,has_case,fd_median,0.05052699999999995
sid000435,fnl_f18,recall,has_case,fd_median_filter,0.19143195
sid000435,fnl_f18,view,has_case,fd_median_filter,0.050354475
sid000435,fnl_f18,view,has_case,fd_mean_filter,0.061563219784718105
sid000435,fnl_f18,recall,has_case,fd_mean_filter,0.18073010741372883
sid000435,fnl_f18,recall,has_case,fd_median,0.3538482385
sid000435,fnl_f18,recall,has_case,fd_mean,0.4191299897573279
sid000435,fnl_f18,view,has_case,perc_spikes,0.011005135730007337
sid000435,fnl_f18,recall,has_case,perc_spikes,0.5761494252873564
sid000435,fnl_f18,view,has_case,fd_mean,0.0655537765845928
sid000473,fnl_f18,recall,has_case,fd_median_filter,0.202562825
sid000473,fnl_f18,recall,has_case,fd_median,0.3919042
sid000473,fnl_f18,view,has_case,fd_median,0.08185930000000001
sid000473,fnl_f18,view,has_case,fd_mean_filter,0.09189490080786068
sid000473,fnl_f18,recall,has_case,fd_mean_filter,0.19740840883410596
sid000473,fnl_f18,view,has_case,fd_median_filter,0.07212807500000001
sid000473,fnl_f18,recall,has_case,fd_mean,0.5333085908833134
sid000473,fnl_f18,recall,has_case,perc_spikes,0.642603550295858
sid000473,fnl_f18,view,has_case,perc_spikes,0.11518708730741012
sid000473,fnl_f18,view,has_case,fd_mean,0.1399987363560385
sid000499,fnl_f18,view,has_case,fd_mean,0.08238660491269255
sid000499,fnl_f18,recall,has_case,fd_mean,0.40689184069473694
sid000499,fnl_f18,view,has_case,fd_median_filter,0.05641587499999998
sid000499,fnl_f18,recall,has_case,fd_median_filter,0.207265925
sid000499,fnl_f18,view,has_case,fd_mean_filter,0.07147204663179758
sid000499,fnl_f18,recall,has_case,fd_mean_filter,0.1925102496988636
sid000499,fnl_f18,recall,has_case,fd_median,0.36853945
sid000499,fnl_f18,recall,has_case,perc_spikes,0.6294736842105263
